,Name,Appearances,Goals,Wins,Losses,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Big chances missed,Freekicks scored,Goals per match,Penalties scored,Shooting accuracy %,Shots,Shots on target
194,Matthew Cash,35,1,16,15,12,44,88,58%,0,6,71,94,52,2,167,182,161,19,48,52,0,0,2,"1,246",35.60,3,102,25%,0,74,8,1,43,2,0,0,1,0,,,,,,,
195,Matt Doherty,93,8,42,26,22,87,154,58%,1,18,125,170,119,1,387,587,461,54,327,226,1,0,10,"3,572",38.41,12,138,21%,4,122,8,1,78,6,3,1,4,2,,,,,,,
196,Kiko Femenía,83,2,23,41,10,123,155,63%,0,6,107,144,60,0,396,298,227,58,36,45,0,0,3,"2,752",33.16,7,198,25%,1,99,9,0,47,6,0,2,0,0,,,,,,,
197,Vladimir Coufal,41,0,21,11,10,53,88,50%,0,4,46,105,58,0,206,205,159,20,60,55,0,0,8,"1,583",38.61,12,171,23%,0,43,3,0,38,0,0,0,0,2,,,,,,,
198,Derek Agyakwa,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
199,Tyrick Mitchell,30,1,8,14,6,47,93,52%,1,0,34,62,16,0,139,137,104,17,15,24,0,0,1,"1,002",33.40,0,40,28%,0,39,2,0,12,0,0,0,0,0,,,,,,,
200,Niels Nkounkou,2,0,0,2,0,1,4,75%,0,0,0,4,2,0,3,6,9,2,0,0,0,0,0,28,14.00,0,4,25%,0,1,1,0,1,0,0,0,0,0,,,,,,,
201,Philip Heise,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
202,Rúben Dias,39,1,27,5,20,24,32,59%,0,2,38,106,55,0,161,135,97,6,76,48,1,0,1,"3,261",83.62,1,4,50%,2,138,6,0,27,1,1,0,0,0,,,,,,,
203,Japhet Tanganga,17,0,6,8,6,18,26,62%,0,1,19,58,39,1,67,94,95,16,37,31,0,1,0,532,31.29,1,15,20%,1,15,4,1,29,1,0,0,0,0,,,,,,,
