,Name,Appearances,Clean sheets,Wins,Losses,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Goals Conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls
95,Pontus Dahlberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
96,Mat Ryan,124,28,29,55,362,2,41,78,17,18,559,"1,015",184,2,0,3,0,2,0,0,"3,596",29.00,"1,017"
97,Loris Karius,29,13,17,4,51,1,15,14,7,17,144,150,26,2,0,1,0,2,0,0,789,27.21,124
98,Kristoffer Klaesson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
99,Asmir Begovic,253,61,80,105,751,3,86,397,136,180,"1,022","2,325",352,27,0,12,0,5,1,0,"5,511",21.78,"1,948"
100,Fraser Forster,115,39,48,42,279,3,38,87,26,26,323,866,130,7,0,4,0,1,0,0,"2,758",23.98,809
101,Tom Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
102,Viljami Sinisalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Daniel Bachmann,4,0,1,3,12,0,2,3,0,2,30,35,7,0,0,0,0,0,0,0,102,25.50,13
104,James Hillson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
105,Arijanet Muric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
106,Marcelo Pitaluga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
107,Nathan Baxter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
108,Tom Heaton,116,28,34,55,408,3,40,96,73,53,436,"1,023",167,3,2,5,0,2,0,0,"3,290",28.36,"1,067"
109,Nathan Trott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
110,Brandon Austin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
