,Name,Appearances,Goals,Wins,Losses,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Yellow cards,Red cards,Fouls,Offsides,Tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Accurate long balls,Aerial battles lost,Aerial battles won,Cross accuracy %,Duels lost,Duels won,Errors leading to goal,Recoveries,Successful 50/50s,Tackle success %,Through balls
19,Jürgen Locadia,34,3,7,21,0.09,0,1,2,0,0,36,12,33%,1,4,1,401,11.79,1,16,1,0,24,13,16,9,10,9,4,,,,,,,,,,,
20,Saman Ghoddos,2,0,0,0,0.00,0,0,0,0,0,2,0,0%,0,0,0,25,12.50,1,2,0,0,1,0,4,2,0,1,0,,,,,,,,,,,
21,Mohamed Salah,165,103,111,21,0.62,6,13,84,14,0,590,265,45%,12,81,37,"4,734",28.69,58,242,5,0,87,83,79,149,28,23,12,,,,,,,,,,,
22,Andy Carroll,248,54,84,101,0.22,24,6,24,2,1,544,174,32%,12,49,22,"4,822",19.44,28,114,34,2,329,80,105,111,74,330,202,,,,,,,,,,,
23,Willian,259,38,148,56,0.15,1,34,3,5,5,411,147,36%,16,20,38,"8,898",34.36,55,"1,107",21,1,135,37,258,118,108,58,26,,,,,,,,,,,
24,Diogo Jota,93,28,42,22,0.30,5,14,9,0,0,191,84,44%,5,30,6,"2,147",23.09,18,94,18,0,117,10,77,45,28,25,18,,,,,,,,,,,
25,Jan Mlakar,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
26,Halil Dervisoglu,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
27,Raphinha,37,9,17,15,0.24,0,1,8,0,1,91,31,34%,4,6,9,"1,093",29.54,14,207,5,0,21,15,45,26,34,30,20,,,,,,,,,,,
28,Lewis Richardson,2,0,0,2,0.00,0,0,0,0,0,0,0,0%,0,0,0,1,0.50,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
